NAME,LATITUDE,LONGITUDE,TYPE
GLIAIRETTA VAUDET,45.5,7.01,Valley glacier
GLJUFURARJOEKULL,65.72,-18.65,Valley glacier
GODLEY,-43.43,170.57,Valley glacier
GOLETTA,45.49,7.05,Valley glacier
GOLUBIN,42.46,74.49,Valley glacier
GOODSPEED,-77.42,162.38,Valley glacier
GORNER,45.97,7.8,Valley glacier
GOZHA,35.27,81.08,Valley glacier
GRAN NEYRON,45.55,7.26,Valley glacier
GRAN PARADISO,45.51,7.25,Valley glacier
GRAN PILASTRO (GHIAC. DEL) / GLIEDERF.,46.97,11.71,Valley glacier
GRAND ETRET,45.47,7.21,Valley glacier
GRAND PACIFIC,59.17,-137.17,Valley glacier
GRAND PLATEAU,59.07,-138.0,Valley glacier
GRANDE DEL NEVADO DEL PLOMO,-33.12,-70.03,Valley glacier
GRANDES JORASSES,45.86,7.0,Valley glacier
GRANDES MURAILLES,45.95,7.58,Valley glacier
GRECHISHKIN,58.0,160.65,Valley glacier
GREGORY,-0.15,37.32,Valley glacier
GREY & MAUD,-43.45,170.48,Valley glacier
GRIES,46.44,8.33,Valley glacier
GRINNELL,48.75,-113.73,Valley glacier
GRIVOLETTA,45.6,7.27,Valley glacier
GROSSER ALETSCH,46.5,8.03,Valley glacier
GULKANA,63.28,-145.4,Valley glacier
GULMIT,36.38,74.8,Valley glacier
GURGLER F.,46.8,10.98,Valley glacier
GUSSFELDT,-32.61,-70.03,Valley glacier
HAILUOGOU,29.58,101.93,Valley glacier
HALASI GL.,49.1,87.82,Valley glacier
HALONG GL.,36.75,99.5,Valley glacier
HAMTAH,32.23,77.37,Valley glacier
HARKER,-54.37,-36.53,Valley glacier
HARRIMAN,60.95,-148.5,Valley glacier
HART,-77.5,162.35,Valley glacier
HARVARD,61.4,-147.4,Valley glacier
HASANABAD,36.43,74.53,Valley glacier
HEANEY,-54.45,-36.27,Valley glacier
HEIMDALL,-77.58,162.87,Valley glacier
HELLSTUGUBREEN,61.56,8.44,Valley glacier
HINTEREIS FERNER,46.8,10.77,Valley glacier
HISPAR,36.15,75.22,Valley glacier
HOCHJOCH F.,46.78,10.82,Valley glacier
HOEGTUVBREEN,66.45,13.63,Valley glacier
HOELLENTAL,47.42,10.99,Valley glacier
HOH,47.8,-123.67,Valley glacier
HOOKER,-43.6,170.12,Valley glacier
HORACE WALKER,-43.67,169.97,Valley glacier
HORCONES INFERIOR,-32.68,-69.98,Valley glacier
HORN K.(ZILLER),47.0,11.82,Valley glacier
HOURGLASS,51.03,-122.9,Valley glacier
HUBBARD,60.32,-139.37,Valley glacier
HUEFI,46.82,8.85,Valley glacier
HUGH MILLER,58.73,-136.68,Valley glacier
HYLLGLACIAEREN,67.58,17.47,Valley glacier
ICHKELSAY,38.8,72.65,Valley glacier
IGLI TUYUKSU,43.05,77.09,Valley glacier
INDREN OCC.,45.89,7.85,Valley glacier
ISFALLSGLAC.,67.91,18.56,Valley glacier
JAMTAL F.,46.85,10.15,Valley glacier
JEREMY SYKES,-77.07,161.55,Valley glacier
JHULANG (KHARSA),30.35,80.4,Valley glacier
JOBRI,32.2,77.35,Valley glacier
JOHNS HOPKINS,58.8,-137.17,Valley glacier
JOSEPH,-0.13,37.3,Valley glacier
JUNCAL NORTE,-33.03,-70.1,Valley glacier
JUNCAL SUR,-33.08,-70.1,Valley glacier
KALAGEYULE WUK.,42.28,80.37,Valley glacier
KALESNIK,42.17,71.17,Valley glacier
KALESNIKA,-82.06,-41.41,Valley glacier
KANGWURE,28.45,85.75,Valley glacier
KARA-ART,38.93,73.82,Valley glacier
KARA-BATKAK,42.14,78.27,Valley glacier
KARAKOLTOR,42.03,80.0,Valley glacier
KARAMBAR,36.8,74.17,Valley glacier
KARSOJIETNA,68.35,18.32,Valley glacier
KASHKATASH,43.19,42.69,Valley glacier
KASHOTO,58.95,-137.02,Valley glacier
KAUTZ,46.82,-121.78,Valley glacier
KAVRAYSKIY,45.25,80.78,Valley glacier
KEGIKER,41.83,80.15,Valley glacier
KEHLEN,46.68,8.42,Valley glacier
KELDYKE,42.03,80.0,Valley glacier
KHADYRSHA,38.95,71.8,Valley glacier
KHAKEL,43.23,41.84,Valley glacier
KHUMBU,27.95,86.82,Valley glacier
KHURDOPIN,36.33,75.5,Valley glacier
KIBISHA,42.62,44.75,Valley glacier
KIRCHIN,39.67,70.75,Valley glacier
KIRTISHO,42.5,43.5,Valley glacier
KLYUEV,39.42,70.75,Valley glacier
KOERBERBREEN,76.95,16.08,Valley glacier
KOKBELES,39.67,70.75,Valley glacier
KOLPAKOVSKIY,42.03,80.0,Valley glacier
KOLTOR VOSTOCHNIY,42.03,80.0,Valley glacier
KORELDASH,42.97,43.17,Valley glacier
KORUMDU,50.13,87.68,Valley glacier
KORYTO,54.68,161.0,Valley glacier
KORZHENEVSKIY,43.08,77.36,Valley glacier
KOZELSKIY,53.23,158.82,Valley glacier
KRAPF,-0.15,37.3,Valley glacier
KRASNOSLOBODTSEV,39.35,73.22,Valley glacier
KRASOVSKIY,45.23,80.8,Valley glacier
KULAK NIZHNIY,43.08,42.92,Valley glacier
KUOTOTJAKKAGL.,68.15,18.57,Valley glacier
KVALFANGARBREEN,77.1,16.1,Valley glacier
KYIMOSHUNG,28.23,85.57,Valley glacier
KYZYLDZHILGA,38.48,73.58,Valley glacier
KYZYLKUL,38.2,72.84,Valley glacier
LA MARE (VEDRETTA DE),46.43,10.63,Valley glacier
LA PEROUSE,-43.57,170.12,Valley glacier
LAGOL,46.15,10.86,Valley glacier
LAGUNILLAS,4.88,-75.3,Valley glacier
LAKE SAFUNA,-8.84,-77.61,Valley glacier
LANA (VEDR. DI) / AEUSSERES LAHNER KEES,47.06,12.21,Valley glacier
LANG,46.45,7.92,Valley glacier
LANGTALER F.,46.78,11.01,Valley glacier
LANGTANG GL.,28.33,85.7,Valley glacier
LAOHUGOU,39.43,96.55,Valley glacier
LAPATE NO.48,43.72,84.48,Valley glacier
LAPEROUSE,58.52,-137.23,Valley glacier
LAVACCIU,45.52,7.25,Valley glacier
LAWRENCE,8.675,11.189999999999998,Valley glacier
LE BLANC,-43.78,169.97,Valley glacier
LEARNARD,60.8,-148.72,Valley glacier
LENTA,46.51,9.03,Valley glacier
LEVIY AKTRU,50.08,87.72,Valley glacier
LEVIY KARAGEMSKIY,50.23,88.17,Valley glacier
LEWIS,-0.15,37.3,Valley glacier
LEX BLANCHE,45.78,6.82,Valley glacier
LHOTSE,27.92,86.91,Valley glacier
LHOTSE NUP,27.94,86.89,Valley glacier
LHOTSE SHAR / IMJA,27.9,86.94,Valley glacier
LIRUNG,28.25,85.55,Valley glacier
LITUYA,58.8,-137.52,Valley glacier
LO ZEBRU (VEDRETTA DE),46.47,10.55,Valley glacier
LOBBIA,46.16,10.58,Valley glacier
LUMDING,27.78,86.59,Valley glacier
LUNGA (VEDRETTA) / LANGENF.,46.46,10.61,Valley glacier
LUPSHAR YAZ,36.45,75.05,Valley glacier
LYELL,-43.28,170.83,Valley glacier
LYS,45.9,7.83,Valley glacier
M. OKTYABRSKIY,39.18,73.0,Valley glacier
MACLAREN,63.35,-146.53,Valley glacier
MADACCIO (VEDR. DEL) / MADATSCHF.,46.5,10.48,Valley glacier
MALAVALLE (VEDR. DI) / UEBELTALF.,46.95,11.12,Valley glacier
MALIY AKTRU,50.04,87.74,Valley glacier
MALUNGUTTI,36.25,75.25,Valley glacier
MALYY BERELSKIY,49.81,86.73,Valley glacier
MANDRONE,46.17,10.55,Valley glacier
MANSO,-41.18,-71.87,Valley glacier
MARCHANT,-43.62,170.03,Valley glacier
MARGERIE,59.0,-137.17,Valley glacier
MARMAGLACIAEREN,68.83,18.67,Valley glacier
MARQUETTE,60.65,-148.65,Valley glacier
MARUKHSKIY,43.36,41.41,Valley glacier
MARZELL F.,46.78,10.88,Valley glacier
MATALAI,32.84,77.74,Valley glacier
MAWER GLACIER,57.05,-130.98,Valley glacier
MAZARSKIY,38.62,71.57,Valley glacier
MC COY,-43.32,170.8,Valley glacier
MCBRIDE,59.08,-136.07,Valley glacier
MCCALL,69.29,-143.82,Valley glacier
MEARES,61.18,-147.47,Valley glacier
MEDVEZHIY,38.66,72.18,Valley glacier
MEOLA,30.2,80.45,Valley glacier
MER DE GLACE,45.88,6.93,Valley glacier
MERA,27.7,86.9,Valley glacier
MEREN,-4.08,137.17,Valley glacier
MESERVE MPII,-77.55,162.37,Valley glacier
MIAGE,45.8,6.84,Valley glacier
MIDTRE LOVENBREEN,78.88,12.07,Valley glacier
MIERS,-78.08,163.75,Valley glacier
MIKKAJEKNA,67.4,17.7,Valley glacier
MINAPIN,36.18,74.58,Valley glacier
MINIERA,46.47,10.55,Valley glacier
MISERABLE,51.07,-122.8,Valley glacier
MITTELALETSCH,46.45,8.03,Valley glacier
MITTELBERG F.,46.92,10.9,Valley glacier
MIZHIRGICHIRAN,43.05,43.17,Valley glacier
MNA,42.7,44.47,Valley glacier
MOIRY,46.08,7.6,Valley glacier
MOMHIL,36.08,75.42,Valley glacier
MONEY,45.52,7.33,Valley glacier
MONT DURAND,45.92,7.33,Valley glacier
MONT MINE,46.02,7.55,Valley glacier
MORION OR.,45.62,7.02,Valley glacier
MORTERATSCH,46.4,9.93,Valley glacier
MUEHLBACHERBREEN,77.11,15.93,Valley glacier
MUELLER,-43.75,170.02,Valley glacier
MUIR,59.1,-136.38,Valley glacier
MURCHISON,-43.52,170.4,Valley glacier
MURKAR,41.23,47.77,Valley glacier
MUSHKETOV,39.0,72.1,Valley glacier
MUZHAERT,42.3,80.02,Valley glacier
NADAHINI,59.73,-136.68,Valley glacier
NADINA,62.05,-143.93,Valley glacier
NAINUOGERU,28.45,98.72,Valley glacier
NANKALDY,38.95,72.63,Valley glacier
NARDIS OCC.,46.21,10.65,Valley glacier
NARVAEZ GRANDE,-48.47,-72.33,Valley glacier
NATAVAS,57.07,-130.82,Valley glacier
NATHORSTBREEN,77.3,16.43,Valley glacier
NEREIDAS,4.88,-75.33,Valley glacier
NICHKEDZHILGA,38.8,72.7,Valley glacier
NIEDERJOCH F.,46.78,10.87,Valley glacier
NIKARCHU,30.28,80.65,Valley glacier
NISQUALLY,46.82,-121.74,Valley glacier
NO.001.14.03.17,39.27,73.55,Valley glacier
NO.005.14.03.17,39.23,73.6,Valley glacier
NO.008.14.03.17,39.15,73.68,Valley glacier
NO.010.14.03.17,39.08,73.7,Valley glacier
NO.012.14.03.17,39.13,73.7,Valley glacier
NO.015.14.03.17,39.12,73.68,Valley glacier
NO.030.14.03.17,38.95,73.78,Valley glacier
NO.031.14.03.14,38.1,72.47,Valley glacier
NO.031.14.03.17,38.95,73.77,Valley glacier
NO.036.14.03.17,38.92,73.73,Valley glacier
NO.040.14.03.17,38.9,73.88,Valley glacier
NO.041.14.03.17,38.87,73.7,Valley glacier
NO.042.14.03.17,39.3,73.18,Valley glacier
NO.046.14.03.14,38.02,72.53,Valley glacier
NO.047.14.03.14,38.0,72.53,Valley glacier
NO.052.14.03.14,37.97,72.57,Valley glacier
NO.072.14.03.17,38.83,73.65,Valley glacier
NO.083.14.03.14,38.08,72.63,Valley glacier
NO.087.14.03.14,38.08,72.68,Valley glacier
NO.093.14.03.14,38.02,72.72,Valley glacier
NO.093.14.03.17,38.45,73.57,Valley glacier
NO.096.14.03.17,38.45,73.53,Valley glacier
NO.100.14.03.14,37.98,72.72,Valley glacier
NO.101.14.03.14,37.98,72.75,Valley glacier
NO.131,41.88,77.68,Valley glacier
NO.134.14.03.17,38.85,73.03,Valley glacier
NO.136.14.03.17,38.85,73.02,Valley glacier
NO.139.14.03.17,38.87,73.0,Valley glacier
NO.155.14.03.14,37.95,73.02,Valley glacier
NO.159.14.03.14,37.92,73.03,Valley glacier
NO.160.14.03.14,37.92,73.05,Valley glacier
NO.161.14.03.14,37.95,73.07,Valley glacier
NO.165.14.03.14,37.92,73.08,Valley glacier
NO.169.14.03.14,37.92,73.13,Valley glacier
NO.170.14.03.14,37.92,73.15,Valley glacier
NO.173.14.03.14,37.93,73.18,Valley glacier
NO.174.14.03.14,37.93,73.2,Valley glacier
NO.208.14.03.14,38.12,73.08,Valley glacier
NO.239.14.03.17,39.12,72.95,Valley glacier
NO.240.14.03.17,39.08,72.95,Valley glacier
NO.241.14.03.17,39.07,72.92,Valley glacier
NO.242.14.03.14,38.2,73.12,Valley glacier
NO.242.14.03.17,39.08,72.93,Valley glacier
NO.243.14.03.14,38.2,73.13,Valley glacier
NO.254.14.03.17,39.07,72.85,Valley glacier
NO.257.14.03.17,39.1,72.85,Valley glacier
NO.259.14.03.17,39.1,72.87,Valley glacier
NO.26.14.03.17,38.97,73.82,Valley glacier
NO.260.14.03.17,39.1,72.88,Valley glacier
NO.261.14.03.17,39.12,72.87,Valley glacier
NO.262.14.03.17,39.13,72.87,Valley glacier
NO.263.14.03.17,39.13,72.9,Valley glacier
NO.264.14.03.17,39.15,72.9,Valley glacier
NO.268.14.03.17,39.17,72.95,Valley glacier
NO.269.14.03.17,39.17,72.97,Valley glacier
NO.273.14.03.14,38.18,73.13,Valley glacier
NO.273.14.03.17,39.2,72.98,Valley glacier
NO.279.14.03.14,38.13,73.03,Valley glacier
NO.284.14.03.14,38.05,73.1,Valley glacier
NO.314.14.03.08,39.17,72.78,Valley glacier
NO.315.14.03.08,39.18,72.82,Valley glacier
NO.324.14.03.08,39.2,72.72,Valley glacier
NO.336.14.03.14,38.08,73.28,Valley glacier
NO.385.14.03.15,37.7,72.7,Valley glacier
NO.390.14.03.15,37.7,72.65,Valley glacier
NO.394.14.03.15,37.72,72.63,Valley glacier
NO.429.14.03.15,37.6,72.72,Valley glacier
NO.446.14.03.13,38.43,73.47,Valley glacier
NO.447.14.03.08,39.07,72.73,Valley glacier
NO.448.14.03.08,39.08,72.73,Valley glacier
NO.449.14.03.08,39.05,72.73,Valley glacier
NO.449.14.03.13,38.43,73.43,Valley glacier
NO.453.14.03.13,38.48,73.4,Valley glacier
NO.464.14.03.08,39.07,72.8,Valley glacier
NO.469.14.03.08,39.05,72.8,Valley glacier
NO.471.14.03.08,39.03,72.8,Valley glacier
NO.499.14.03.13,38.48,73.37,Valley glacier
NO.503,39.02,70.9,Valley glacier
NO.503.14.03.08,38.87,72.95,Valley glacier
NO.506.14.03.08,38.87,72.93,Valley glacier
NO.507,38.2,72.84,Valley glacier
NO.512.14.03.08,38.87,72.92,Valley glacier
NO.514.14.03.08,38.88,72.87,Valley glacier
NO.517,38.97,70.67,Valley glacier
NO.519.14.03.08,38.92,72.88,Valley glacier
NO.520.14.03.08,38.88,72.87,Valley glacier
NO.532.14.03.08,38.92,72.82,Valley glacier
NO.538.14.03.08,38.8,72.97,Valley glacier
NO.543.14.03.08,38.8,72.95,Valley glacier
NO.544.14.03.08,38.78,72.93,Valley glacier
NO.551.14.03.08,38.8,72.88,Valley glacier
NO.558.14.03.08,38.77,72.8,Valley glacier
NO.560.14.03.08,38.77,72.78,Valley glacier
NO.572.14.03.08,38.85,72.75,Valley glacier
NO.573.14.03.08,38.88,72.75,Valley glacier
NO.578.14.03.08,38.83,72.73,Valley glacier
NO.579.14.03.08,38.82,72.68,Valley glacier
NO.582.14.03.08,38.85,72.7,Valley glacier
NO.586.14.03.08,38.88,72.68,Valley glacier
NO.593.14.03.08,38.8,72.62,Valley glacier
NO.598.14.03.14,38.48,73.62,Valley glacier
NO.599.14.03.08,38.88,72.58,Valley glacier
NO.600.14.03.08,38.88,72.57,Valley glacier
NO.612.14.03.08,38.98,72.62,Valley glacier
NO.614.14.03.08,39.0,72.6,Valley glacier
NO.617.14.03.08,38.95,72.6,Valley glacier
NO.622.14.03.08,38.95,72.57,Valley glacier
NO.623.14.03.08,38.95,72.55,Valley glacier
NO.676,42.03,80.0,Valley glacier
NORDEND,45.94,7.88,Valley glacier
NORTH CRILLON,58.63,-137.38,Valley glacier
NORTH KLAWATTI,48.57,-121.1,Valley glacier
NORTHEY,-0.15,37.3,Valley glacier
NUPTSE,27.93,86.86,Valley glacier
OB.GRINDELWALD,46.62,8.1,Valley glacier
OBERAAR,46.53,8.22,Valley glacier
OBERALETSCH,46.42,7.97,Valley glacier
OBERSULZBACH K.,47.11,12.29,Valley glacier
OCHSENTALERGL.,46.85,10.1,Valley glacier
OEDENWINKEL K.,47.1,12.64,Valley glacier
OLIVARES BETA,-33.13,-70.18,Valley glacier
OLIVARES GAMA,-33.13,-70.17,Valley glacier
OSAND MER. (SABBIONE MER.),46.41,8.3,Valley glacier
OSSOUE,42.77,-0.14,Valley glacier
OTEMMA,45.95,7.45,Valley glacier
OVERLORD,50.02,-122.83,Valley glacier
PACKARD,-77.33,162.13,Valley glacier
PAKHTAKOR,42.2,70.17,Valley glacier
PANMAH,36.0,75.92,Valley glacier
PARK,48.78,-121.79,Valley glacier
PARLUNG NO. 94,29.38,96.97,Valley glacier
PARTEJEKNA,67.17,17.67,Valley glacier
PASSUSJIETNA E.,68.05,18.43,Valley glacier
PASSUSJIETNA W,68.05,18.38,Valley glacier
PASTERZE,47.1,12.7,Valley glacier
PASU,36.45,74.75,Valley glacier
PENDENTE (VEDR.) / HANGENDERF.,46.96,11.23,Valley glacier
PENE BLANCHE,45.54,7.35,Valley glacier
PENON,-35.27,-70.56,Valley glacier
PETERS,63.12,-151.08,Valley glacier
PEYTO,51.65,-116.56,Valley glacier
PIEDRAS BLANCAS,-49.26,-73.01,Valley glacier
PILOTO ESTE,-32.58,-70.14,Valley glacier
PINDARI,30.3,80.0,Valley glacier
PIODE,45.9,7.87,Valley glacier
PISAN,36.05,74.52,Valley glacier
PISGANA OCC.,46.19,10.52,Valley glacier
PIZZO FERRE,46.46,9.28,Valley glacier
PLACE,50.43,-122.6,Valley glacier
POKALDE,27.9,86.8,Valley glacier
PORTAGE,60.75,-148.8,Valley glacier
PRAVIY AKTRU,50.08,87.73,Valley glacier
PRAVIY KARAGEMSKIY,50.17,88.13,Valley glacier
PRE DE BAR,45.9,7.04,Valley glacier
PREDAROSSA,46.25,9.73,Valley glacier
PRESANELLA,46.22,10.65,Valley glacier
PURGATORY,52.15,-126.37,Valley glacier
QIANGYONG,28.85,90.23,Valley glacier
QIYI,39.24,97.75,Valley glacier
QUAIRA BIANCA (VEDR. DELLA) / WEISSKARF.,46.54,10.85,Valley glacier
QUNTAILAN,41.97,80.12,Valley glacier
RABOTS GLACIAER,67.91,18.5,Valley glacier
RAIGORODSKIY,39.67,70.75,Valley glacier
RAMA,39.17,70.45,Valley glacier
RAMSAY,-43.22,170.93,Valley glacier
RECHERCHEBREEN,77.4,14.9,Valley glacier
RECIO,4.87,-75.32,Valley glacier
RENDU,59.07,-136.82,Valley glacier
RHONE,46.62,8.4,Valley glacier
RICHARDSON,-43.8,169.95,Valley glacier
RIED,46.13,7.85,Valley glacier
RIGGS,59.1,-136.17,Valley glacier
RIKHA SAMBA,28.82,83.49,Valley glacier
RIPIMO SHAR,27.9,86.49,Valley glacier
RISOPATRON,-33.13,-70.08,Valley glacier
ROBSON,53.15,-119.57,Valley glacier
"ROCHEMELON, GLACIER DE",45.22,6.06,Valley glacier
ROCKFALL,59.78,-137.8,Valley glacier
ROLWALING (TRAKARDING),27.86,86.54,Valley glacier
ROMER,58.98,-136.73,Valley glacier
RONGBU,28.07,86.95,Valley glacier
ROSEG,46.37,9.83,Valley glacier
ROSENLAUI,46.65,8.15,Valley glacier
ROSS,-54.56,-36.18,Valley glacier
ROSSBODEN,46.18,8.0,Valley glacier
ROSSO DESTRO,47.03,12.2,Valley glacier
RUOPSOKJEKNA,67.33,17.98,Valley glacier
RUOTESJEKNA,67.42,17.47,Valley glacier
RUTOR,45.5,7.0,Valley glacier
SADDLEBAG,60.52,-145.1,Valley glacier
SAINT SORLIN,45.16,6.15,Valley glacier
SALAJEKNA,67.12,16.38,Valley glacier
SALEINA,45.98,7.07,Valley glacier
SALINILLAS,-33.51,-69.51,Valley glacier
SAMARINBREEN,76.87,16.35,Valley glacier
SAN JOSE,-33.49,-69.51,Valley glacier
SAN LORENZO SUR,-47.63,-72.3,Valley glacier
SANFORD,62.15,-144.37,Valley glacier
SANTA ROSA,-10.48,-76.72,Valley glacier
SARA UMGA,32.16,77.55,Valley glacier
SARENNES,45.11,6.12,Valley glacier
SARPO LAGGO,35.83,76.3,Valley glacier
SARY TOR (NO.356),41.83,78.17,Valley glacier
SASSO LUNGO OCC. (VEDR. DI) / LENKSTEINF. WESTL.,46.92,12.14,Valley glacier
SATSCHEN SANGO,35.33,74.78,Valley glacier
SAYIGAPEIR,41.87,80.2,Valley glacier
SCERSCEN INFERIORE,46.35,9.85,Valley glacier
SCHALF F.,46.78,10.93,Valley glacier
SCHLATEN K.,47.11,12.38,Valley glacier
SCHWARZ,46.42,7.67,Valley glacier
SCHWARZENSTEIN,47.02,11.85,Valley glacier
SE KASKASATJ GL,67.93,18.6,Valley glacier
SEA,45.33,7.14,Valley glacier
SENTINEL,49.88,-122.98,Valley glacier
SEPARATION,-43.48,170.58,Valley glacier
SERPENTINE,61.12,-148.28,Valley glacier
SEVERNIY DZHAYLYAUKUMSAY,38.87,72.55,Valley glacier
SEVERNIY ZULUMART,39.08,72.8,Valley glacier
SEVERTSOV,39.08,67.67,Valley glacier
SHAIGIRI,35.18,74.58,Valley glacier
SHALLAP,-9.48,-77.33,Valley glacier
SHAUNE GARANG,31.28,78.33,Valley glacier
SHCHUKIN,45.01,80.45,Valley glacier
SHERIDAN,60.63,-145.15,Valley glacier
SHERMAN,60.55,-145.12,Valley glacier
SHOKALSKIY,43.07,77.28,Valley glacier
SHOUP,61.2,-146.53,Valley glacier
SHULTS,45.07,80.15,Valley glacier
SHUMSKIY,45.08,80.23,Valley glacier
SIEGE,-43.27,170.53,Valley glacier
SIGONHE NO.5,43.82,88.32,Valley glacier
SINCLAIR,-43.37,170.87,Valley glacier
SKAZKA,42.83,43.67,Valley glacier
SKOGACH,38.72,71.5,Valley glacier
SLETTMARKBREEN,61.4,8.45,Valley glacier
SMITH,61.27,-147.78,Valley glacier
SNOW WHITE,-44.45,168.58,Valley glacier
SOLDA (VEDRETTA DI) / SULDENF.,46.49,10.56,Valley glacier
SOUTH CASCADE,48.35,-121.05,Valley glacier
SOUTH CRILLON,58.62,-137.37,Valley glacier
SPEKE,0.4,29.88,Valley glacier
SPERRY,48.63,-113.75,Valley glacier
SQUAK,48.75,-121.81,Valley glacier
STEIN,46.7,8.43,Valley glacier
STEINLIMMI,46.7,8.4,Valley glacier
STORBREEN,61.57,8.13,Valley glacier
STORGLACIAEREN,67.9,18.57,Valley glacier
STORSTEINSFJELLBREEN,68.22,17.92,Valley glacier
STOUR RAEITAGL.,67.97,18.38,Valley glacier
STRAUCHON,-43.62,170.08,Valley glacier
STRUPBREEN,69.7,20.12,Valley glacier
STYGGEBREAN,61.64,8.34,Valley glacier
STYGGEDALSBREEN,61.47,7.88,Valley glacier
SUATISI SREDNIY,42.7,44.42,Valley glacier
SUEK/SUYOK ZAPADNIY,41.79,77.75,Valley glacier
SULZENAU F.,46.98,11.15,Valley glacier
SULZTAL F.,47.0,11.08,Valley glacier
SUOTTASJEKNA,67.47,17.58,Valley glacier
SURPRISE,61.03,-148.48,Valley glacier
SUSITNA,63.52,-146.95,Valley glacier
SVALBREEN,77.66,16.58,Valley glacier
SVEABREEN,78.6,14.1,Valley glacier
SYDBREEN,69.45,19.91,Valley glacier
TACONNAZ,45.86,6.84,Valley glacier
TAHOMA SOUTH-L.,46.82,-121.82,Valley glacier
TAL,32.45,77.83,Valley glacier
TALUM,48.75,-121.8,Valley glacier
TAP,35.2,74.62,Valley glacier
TASCHACH F.,46.9,10.84,Valley glacier
TASMAN,-43.52,170.32,Valley glacier
TATS,59.68,-137.77,Valley glacier
TAYLOR US,60.57,-148.63,Valley glacier
TCHAIKAZAN,51.02,-123.78,Valley glacier
TEBENKOF,60.72,-148.48,Valley glacier
TEKESHSAI-I,42.08,70.67,Valley glacier
TERRIFIC,50.43,-123.43,Valley glacier
THULAGI,28.48,84.5,Valley glacier
TIEDEMANN,51.33,-125.05,Valley glacier
TIEFEN,46.62,8.43,Valley glacier
TIKHITSAR,41.23,47.78,Valley glacier
TIM WILLIAMS,56.55,-130.0,Valley glacier
TOBY,50.23,-116.13,Valley glacier
TOPEKA,58.93,-137.08,Valley glacier
TOSHAIN RUPAL,35.17,74.57,Valley glacier
TOUR,45.98,6.99,Valley glacier
TOYATTE,58.9,-137.1,Valley glacier
TRAIL,60.55,-147.75,Valley glacier
TRAJO,45.59,7.27,Valley glacier
TRE LA TETE,45.79,6.78,Valley glacier
TRETTEN-NULL-TOBREEN,66.72,14.02,Valley glacier
TRIENT,46.0,7.03,Valley glacier
TRIFT (GADMEN),46.67,8.37,Valley glacier
TRIOLET,45.89,7.02,Valley glacier
TROLLBERGDALSBREEN,66.71,14.44,Valley glacier
TRONOV,44.89,79.38,Valley glacier
TS.TUYUKSUYSKIY,43.05,77.08,Valley glacier
TSANERI,43.08,43.0,Valley glacier
TSCHIERVA,46.4,9.88,Valley glacier
TSEYA,42.92,43.67,Valley glacier
TSIDJIORE NOUVE,46.0,7.45,Valley glacier
TSOLOSS,51.38,-123.87,Valley glacier
TUERGANGOU,43.1,94.35,Valley glacier
TUGEBIELIQI,42.17,80.33,Valley glacier
TUPUNGATO,-33.35,-69.72,Valley glacier
TUPUNGATO 01,-33.39,-69.75,Valley glacier
TUPUNGATO 02,-33.38,-69.75,Valley glacier
TUPUNGATO 03,-33.36,-69.75,Valley glacier
TUPUNGATO 04,-33.34,-69.75,Valley glacier
TURO,39.53,70.13,Valley glacier
TURPAKBEL NIZHN,42.08,70.5,Valley glacier
TURTMANN (WEST),46.13,7.68,Valley glacier
TUTEK,39.42,70.75,Valley glacier
TYEEN,58.87,-137.15,Valley glacier
TYNDALL,-1.786666666666667,-9.463333333333333,Valley glacier
TZA DE TZAN,45.98,7.57,Valley glacier
UMBAL K.,47.05,12.25,Valley glacier
UNIVERSIDAD,-34.7,-70.33,Valley glacier
UNIVERSITET (NO. 122),50.25,88.12,Valley glacier
UNNA RAEITA GL.,67.97,18.43,Valley glacier
UNNAMED CD5075,51.23,-124.5,Valley glacier
UNNAMED US1100,62.18,-143.93,Valley glacier
UNNAMED US1101,62.17,-144.02,Valley glacier
UNNAMED US1104,62.12,-144.45,Valley glacier
UNNAMED US1105,61.97,-144.43,Valley glacier
UNNAMED US1109,62.1,-143.9,Valley glacier
UNNAMED US1331,59.05,-136.88,Valley glacier
UNNAMED US1334,59.07,-136.73,Valley glacier
UNNAMED US624,61.2,-147.65,Valley glacier
UNT.GRINDELWALD,46.57,8.09,Valley glacier
UNTERAAR,46.57,8.22,Valley glacier
UNTERSULZBACH K.,47.13,12.35,Valley glacier
URTA-BAKCHIGIR 1,37.67,72.72,Valley glacier
URTA-BAKCHIGIR 2,37.67,72.73,Valley glacier
URUASHRAJU,-9.58,-77.32,Valley glacier
USHBA,43.13,42.65,Valley glacier
UTEM,53.9,-127.78,Valley glacier
VACAS,-32.55,-69.99,Valley glacier
VALDEZ,61.28,-146.2,Valley glacier
VALEILLE,45.52,7.37,Valley glacier
VALLE DEL VENTO,47.03,12.2,Valley glacier
VALLELUNGA (VEDR. DI) / LANGTAUFERERF.,46.81,10.73,Valley glacier
VALSOREY,45.9,7.27,Valley glacier
VARIEGATED,60.0,-139.3,Valley glacier
VARTASJEKNA,67.45,17.67,Valley glacier
VASSAR,61.22,-147.87,Valley glacier
VENEROCOLO,46.16,10.5,Valley glacier
VENTINA,46.27,9.77,Valley glacier
VERRA (GRANDE DI),45.91,7.75,Valley glacier
VERRA (PICCOLO DI),45.91,7.77,Valley glacier
VICTORIA UPPER,-77.27,161.5,Valley glacier
VILTRAGEN K.,47.13,12.37,Valley glacier
